Planeta,Massa do Planeta,Raio do Planeta,Densidade,Semi-eixo,Velocidade de Escape,Gravidade,Periodo Orbital,Excentricidade,Temperatura da Estrela,Massa da Estrela,Raio da Estrela,Metalicidade,Insolacao,Luminosidade,Luminosidade UV,Luminosidade Raios-X,Tem Atmosfera,Zona Venus,Zona Habitavel,Zona Marte,Zona Habitavel UV,Zona Muito UV,Zona Habitavel Raios-x,Ar Escapa,C Escapa,CH4 Escapa,CO Escapa,CO2 Escapa,H2 Escapa,H2O Escapa,He Escapa,N Escapa,N2 Escapa,O Escapa,O2 Escapa,n,Omega,Acoplado por Marés,Aquecido por marés,Grupos
LHS 1678 b,0.060382,0.78911343,0.675240704748871,0.01239,3092.5891680027025,0.9501314773895494,0.8602325,0.01,3490.0,0.345,0.329,0.0,93.80094602506544,0.0143995802062944,4.022286648424979e+26,5.538078547340845e+28,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,8.480440421470297e-05,8.9647956800726e-05,True,False,Mércurios Análogos
LHS 1678 c,0.390894,1.08404635,1.6861060033795436,0.0327,6713.419369761104,3.2592553213830087,3.694284,0.01,3490.0,0.345,0.329,0.0,13.466487301194672,0.0143995802062944,4.022286648424979e+26,5.538078547340845e+28,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,1.9779001463671057e-05,0.0001547351336843,True,False,Mércurios Análogos
LHS 1678 d,0.918442,1.13014576,3.496373182271045,0.04,10078.52178009383,7.045923077700751,4.9652229,0.01,3490.0,0.345,0.329,0.0,8.99973762893403,0.0143995802062944,4.022286648424979e+26,5.538078547340845e+28,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1.4619650875983652e-05,0.0001598993856551,True,True,Mércurios Análogos Aquecidos Por Marés
LHS 1815 b,1.58,1.088,6.741240569597236,0.0404,13472.627325449526,13.078392837638672,3.814334,0.0,3643.0,0.502,0.501,-0.12,25.119863189991467,0.0409996359041764,9.95445978952628e+26,1.576845996874627e+29,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1.7373910035420228e-05,0.000157159015164,True,False,Mércurios Análogos
LHS 475 b,0.978824,0.991,5.526536858087431,0.0200724928304683,11111.013577892723,9.765902460989349,2.029088,0.01,3300.0,0.262,0.2789,0.0,20.53082932089569,0.0082719731393608,1.2331457492632988e+26,3.1814008693981924e+28,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,3.583990250957103e-05,0.0001386589747824,True,False,Mércurios Análogos
LP 791-18 b,2.038304026235959,1.212,6.291157062362506,0.00978,14498.44322137435,13.596239452641743,0.9479981,0.01,2960.0,0.139,0.182,-0.09,24.046523102967807,0.0023000114603619,1.240740439870684e+25,8.845844076551891e+27,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,7.675812969933212e-05,9.770187527688644e-05,True,False,Mércurios Análogos
LP 791-18 d,0.9,1.032,4.499588959111575,0.01992,10440.459353730665,8.280149856061948,2.753436,0.0015,2960.0,0.139,0.182,-0.09,5.796306360890112,0.0023000114603619,1.240740439870684e+25,8.845844076551891e+27,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2.64054349692005e-05,0.000148126925814,True,True,Vênus Análogos
Luyten's Star c,1.188572,1.047748104144845,5.67837760190434,0.036,11907.552543643187,10.608813377689286,4.72322,0.01,3382.0,0.29,0.293,0.09,7.771072839562247,0.0100713104000726,2.0708397889413663e+26,3.8734259798679496e+28,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1.569869765512013e-05,0.0001588193137815,True,True,Vênus Análogos
MARS,0.107,0.532,3.9049754303256807,1.52,5013.8839025184025,3.704380548302027,686.98,0.0934,5772.0,1.0,1.0,0.0,0.432825484764543,1.0,1.6565781528799725e+31,3.846e+30,False,False,True,False,True,False,True,False,True,True,False,False,True,True,True,True,False,True,False,1.0625524895175945e-07,0.0001744178641721,False,False,Marte Análogos
MERCURY,0.0553,0.383,5.408766515179585,0.387,4248.165029419532,3.6938790010970255,87.969,0.2056,5772.0,1.0,1.0,0.0,6.676949168385981,1.0,1.6565781528799725e+31,3.846e+30,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8.270833799101018e-07,0.0001733737033961,False,False,Mércurios Análogos
SPECULOOS-3 b,0.9174289875858296,0.977,5.405777819095741,0.00733,10833.70855405411,9.41756036719184,0.71912603,0.01,2800.0,0.1009,0.123,0.07,15.541110584231076,0.000835006776469,3.836874745765681e+24,3.211436062300133e+27,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0.0001007885633404,7.364861272384408e-05,True,False,Mércurios Análogos
TOI-1411 b,2.0,1.19880592,6.379002667451931,0.02122,14440.384566869334,13.636010273542022,1.4520527,0.0,4115.0,0.6045,0.614,0.012,215.4166366513104,0.0969996126510999,1.3046409657640525e+28,3.730605102561303e+29,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,5.00838776262107e-05,0.0001244490475732,True,False,Mércurios Análogos
